Latitud,Longitud,ALA,Fuente,TipoEstacion,NombreEstacion,Variable,Fecha,Hora,Valor,UnidadMedida,dia,Mes,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,6/1/1969,0:00,545,m³/s,6,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,7/1/1969,0:00,545,m³/s,7,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,8/1/1969,0:00,0.74,m³/s,8,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,9/1/1969,0:00,675,m³/s,9,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,10/1/1969,0:00,0.61,m³/s,10,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,11/1/1969,0:00,545,m³/s,11,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,12/1/1969,0:00,675,m³/s,12,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,13/1/1969,0:00,0.61,m³/s,13,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,14/1/1969,0:00,0.48,m³/s,14,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,15/1/1969,0:00,805,m³/s,15,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,16/1/1969,0:00,0.74,m³/s,16,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,17/1/1969,0:00,0.48,m³/s,17,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,18/1/1969,0:00,0.44,m³/s,18,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,19/1/1969,0:00,0.4,m³/s,19,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,20/1/1969,0:00,0.36,m³/s,20,1,,,,,,,,,,,,,,,
-11.16666667,-76.31666667,MANTARO,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,RIO PALLANGA,Caudal PRO 1DIA,21/1/1969,0:00,0.32,m³/s,21,1,,,,,,,,,,,,,,,
