Latitud,Longitud,ALA,Fuente,TipoEstacion,NombreEstacion,Variable,Fecha,Hora,Valor,UnidadMedida
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,20/04/1969,00:00,4.32,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,21/04/1969,00:00,4.18,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,22/04/1969,00:00,4.28,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,23/04/1969,00:00,4.4,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,24/04/1969,00:00,4.26,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,25/04/1969,00:00,4.12,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,26/04/1969,00:00,3.53,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,27/04/1969,00:00,3.18,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,28/04/1969,00:00,3.1,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,29/04/1969,00:00,3.24,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,30/04/1969,00:00,3.36,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,01/05/1969,00:00,3.35,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,02/05/1969,00:00,3.24,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,03/05/1969,00:00,3.19,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,04/05/1969,00:00,3.77,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,05/05/1969,00:00,4.98,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,06/05/1969,00:00,5.98,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,07/05/1969,00:00,5.06,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,08/05/1969,00:00,3.2,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,09/05/1969,00:00,3.69,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,10/05/1969,00:00,3.78,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,11/05/1969,00:00,3.07,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,12/05/1969,00:00,4.01,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,13/05/1969,00:00,4.54,m³/s
-11.57127778,-76.35,CHILLON - RIMAC - LURIN,Servicio Nacional de Meteorología e Hidrología,HIDROMÉTRICA,MILLOC,Caudal PRO 1DIA,14/05/1969,00:00,5.17,m³/s
